,Date,Drill Running Load,Total Weekly Running Load,Running 7 Day Load,Running 28 Day Load
0,2022-01-10,51.36666666666667,78.36666666666666,1093.4666666666667,1191.2
1,2022-01-11,21.214285714285715,131.07142857142858,1092.0357142857142,1144.7857142857142
2,2022-01-03,37.12,50.04,1391.44,1334.28
3,2022-01-04,30.346153846153847,109.65384615384616,1201.8846153846155,1233.1538461538462
4,2022-01-06,44.458333333333336,189.20833333333334,1124.6666666666667,1235.9166666666667
5,2022-01-07,40.92307692307692,250.3846153846154,1209.6923076923076,1267.0
6,2021-10-01,82.66666666666667,223.66666666666666,1004.3333333333334,1048.6666666666667
7,2021-10-04,31.666666666666668,31.666666666666668,957.25,932.5833333333334
8,2021-10-05,21.181818181818183,52.18181818181818,798.1818181818181,931.6363636363636
9,2021-10-06,43.36363636363637,92.36363636363636,887.6363636363636,973.4545454545455
10,2021-10-08,19.615384615384617,103.46153846153847,850.8461538461538,895.5384615384615
11,2021-10-09,23.658536585365855,153.1951219512195,705.6585365853658,816.9024390243902
12,2021-11-01,73.58823529411765,109.3529411764706,1073.1176470588234,1292.3529411764705
13,2021-11-11,51.0,293.22727272727275,1160.6818181818182,1226.9545454545455
14,2021-11-12,39.857142857142854,379.64285714285717,1106.0,1231.857142857143
15,2021-11-02,38.0,174.44444444444446,1222.111111111111,1337.5555555555557
16,2021-11-04,40.8,209.9,1138.65,1293.2
17,2021-11-05,40.9,278.3,1245.4,1283.5
18,2021-11-08,28.869565217391305,31.347826086956523,1116.3478260869565,1239.1304347826087
19,2021-11-09,95.0,201.34782608695653,1214.2173913043478,1245.0869565217392
20,2021-12-02,38.4,88.8,568.4,857.8
21,2021-12-03,25.176470588235293,120.58823529411765,529.7647058823529,823.1176470588235
22,2021-12-04,24.333333333333332,185.22222222222223,578.5925925925926,784.8148148148148
23,2022-01-13,47.074074074074076,214.96296296296296,1069.0740740740741,1188.1851851851852
24,2022-03-13,42.857142857142854,433.04761904761904,911.952380952381,1147.4285714285713
25,2022-05-13,56.35294117647059,245.23529411764707,1438.0588235294117,1104.7058823529412
26,2021-12-13,24.285714285714285,29.761904761904763,1229.7619047619048,888.0952380952381
27,2022-01-14,28.857142857142858,261.42857142857144,1035.357142857143,1149.5714285714287
28,2022-02-14,54.25925925925926,86.22222222222223,1130.1851851851852,951.4074074074074
29,2022-03-14,31.666666666666668,31.666666666666668,926.3333333333334,1111.0
30,2022-04-14,48.088235294117645,284.79411764705884,1319.4117647058824,1445.5
31,2021-10-14,60.92857142857143,60.92857142857143,1273.142857142857,1349.7142857142858
32,2021-12-14,37.42857142857143,73.85714285714286,1331.2142857142858,945.1428571428571
33,2022-02-15,22.26086956521739,138.7391304347826,1141.2173913043478,907.2173913043479
34,2022-03-15,32.0,32.0,747.5,886.5
35,2022-04-15,63.0,362.4736842105263,1363.6315789473683,1470.1052631578948
36,2021-10-15,76.84615384615384,133.3846153846154,1256.3846153846155,1217.5384615384614
37,2021-12-15,36.23076923076923,112.84615384615384,1319.6153846153845,969.7692307692307
38,2022-05-16,59.705882352941174,59.705882352941174,1523.0588235294117,1127.9411764705883
39,2021-11-16,28.153846153846153,28.153846153846153,1087.6153846153845,1204.7692307692307
40,2022-01-17,34.333333333333336,34.333333333333336,1063.1666666666667,1169.3333333333333
41,2022-02-17,47.67857142857143,189.25,1041.6785714285713,932.6428571428571
42,2022-03-17,38.0,57.8,960.1333333333333,1094.9333333333334
43,2022-05-17,62.8235294117647,122.52941176470588,1421.764705882353,1134.0588235294117
44,2022-01-18,52.0,86.33333333333333,1176.6666666666667,1165.0
45,2022-02-18,21.636363636363637,255.0909090909091,1178.4545454545455,970.1818181818181
46,2022-03-18,60.1764705882353,114.23529411764706,1163.8235294117646,1152.1176470588234
47,2022-04-18,43.47222222222222,62.25,1250.6944444444443,1462.5277777777778
48,2021-10-18,76.46428571428571,109.39285714285714,1570.25,1124.4642857142858
49,2022-04-19,35.94117647058823,133.94117647058823,1191.6470588235295,1445.235294117647
50,2022-05-19,49.294117647058826,171.8235294117647,1289.5882352941176,1124.7058823529412
51,2021-10-19,36.0,178.73333333333332,1542.0,1144.6
52,2021-11-19,33.30769230769231,61.46153846153846,1089.1538461538462,1198.923076923077
53,2022-02-10,43.48148148148148,195.1851851851852,1051.7777777777778,796.3333333333334
54,2022-02-11,28.642857142857142,247.5,1093.5714285714287,837.7857142857143
55,2022-02-07,51.46153846153846,79.23076923076923,1008.7692307692307,754.2692307692307
56,2022-02-08,21.23076923076923,128.5,868.1923076923077,729.6153846153846
57,2022-01-20,16.3,105.6,911.2,1149.2
58,2022-05-20,20.655172413793103,195.79310344827587,1043.0689655172414,1055.5172413793102
59,2022-01-21,23.136363636363637,140.27272727272728,836.9090909090909,1082.3181818181818
60,2022-02-21,54.53125,83.53125,1208.78125,1165.40625
61,2022-03-21,72.9090909090909,115.75757575757575,1530.4545454545455,1144.5151515151515
62,2022-04-21,79.36842105263158,209.05263157894737,1418.6842105263158,1462.1052631578948
63,2022-05-21,27.03846153846154,247.57692307692307,864.2307692307693,1001.9615384615385
64,2021-10-21,55.55555555555556,258.037037037037,1343.9259259259259,1135.7407407407406
65,2022-01-22,35.72727272727273,196.04545454545453,737.2727272727273,1026.3636363636363
66,2022-02-22,23.379310344827587,141.79310344827587,1339.7241379310344,1162.3793103448277
67,2022-03-22,49.1764705882353,190.0,1612.235294117647,1187.235294117647
68,2022-04-22,29.833333333333332,251.44444444444446,1189.3333333333333,1468.7222222222222
69,2022-05-22,24.28,287.84,791.4,967.24
70,2021-10-22,95.38461538461539,399.53846153846155,1331.1538461538462,1144.1538461538462
71,2021-11-22,40.5,40.5,981.6,1170.4
72,2022-01-23,26.210526315789473,262.05263157894734,688.4736842105264,992.3157894736842
73,2022-02-24,44.93333333333333,209.13333333333333,1116.4666666666667,1126.5
74,2022-03-24,30.870967741935484,233.2258064516129,1446.1612903225807,1167.1935483870968
75,2022-05-24,74.0,74.0,853.0,1498.0
76,2021-11-24,38.09090909090909,74.9090909090909,1024.3636363636363,1143.909090909091
77,2022-01-25,29.272727272727273,29.272727272727273,634.6363636363636,946.4545454545455
78,2022-02-25,37.3125,264.125,1259.0625,1182.625
79,2022-03-25,49.285714285714285,306.85714285714283,1276.3809523809523,1183.3333333333333
80,2022-04-25,39.25,39.25,1086.5,1187.25
81,2021-10-25,86.14814814814815,119.03703703703704,1263.148148148148,1172.4444444444443
82,2021-11-25,51.90909090909091,126.81818181818181,995.2727272727273,1130.3636363636363
83,2022-04-26,31.3125,38.4375,1376.75,1456.4375
84,2021-10-26,33.7,213.9,1290.9,1167.8
85,2021-11-26,24.235294117647058,171.88235294117646,811.8823529411765,1084.0
86,2022-01-27,44.666666666666664,74.88888888888889,709.0,962.3333333333334
87,2022-04-27,55.6,91.86666666666666,1345.0,1492.9333333333334
88,2021-11-27,17.74074074074074,214.11111111111111,657.3703703703703,980.5555555555555
89,2022-01-28,29.636363636363637,110.77272727272727,637.6818181818181,922.4545454545455
90,2022-03-28,65.1842105263158,106.73684210526316,1300.157894736842,1159.157894736842
91,2022-04-28,28.0,92.83333333333333,881.1666666666666,1117.5
92,2021-10-28,37.55,259.1,1186.45,1149.4
93,2022-01-29,18.545454545454547,143.63636363636363,596.7727272727273,874.7727272727273
94,2022-03-29,34.529411764705884,163.7058823529412,1245.7058823529412,1187.5294117647059
95,2022-04-29,33.1,138.45,1122.15,1413.2
96,2021-10-29,46.4,335.4,1215.0,1167.2
97,2021-11-29,12.4,12.4,568.8,848.8
98,2022-03-01,50.270270270270274,67.48648648648648,1245.6756756756756,1151.6486486486488
99,2022-03-10,18.058823529411764,114.0,1158.1764705882354,1189.1176470588234
100,2022-03-11,55.484848484848484,194.15151515151516,993.4242424242424,1181.6666666666667
101,2022-03-12,56.175,346.4,950.9,1181.85
102,2022-03-03,62.027027027027025,190.32432432432432,1139.4054054054054,1116.6486486486488
103,2022-03-04,45.625,284.375,1311.625,1163.5
104,2022-03-07,35.2,43.6,1234.05,1180.1
105,2022-03-08,55.77777777777778,113.38888888888889,1198.2777777777778,1209.9444444444443
106,2022-01-30,31.52173913043478,186.2173913043478,601.695652173913,863.4347826086956
107,2022-04-30,32.53846153846154,213.94230769230768,823.5961538461538,1377.0
108,2021-11-30,38.0,50.4,608.5,851.9
109,2021-12-30,60.72727272727273,60.72727272727273,2091.4545454545455,1548.909090909091
110,2022-03-31,38.55172413793103,225.82758620689654,1278.3793103448277,1152.0
111,2021-12-31,36.30769230769231,87.6923076923077,1430.2307692307693,1341.2307692307693
112,2022-04-01,33.06896551724138,275.2413793103448,1431.6206896551723,1210.8275862068965
113,2022-04-11,71.97222222222223,131.13888888888889,1502.1944444444443,1478.888888888889
114,2022-04-12,45.0,212.83333333333334,1449.0555555555557,1498.1666666666667
115,2022-04-04,47.470588235294116,50.35294117647059,1650.235294117647,1482.4705882352941
116,2022-04-05,32.74285714285714,94.88571428571429,1765.5142857142857,1518.4571428571428
117,2022-04-07,37.17142857142857,162.05714285714285,1882.7142857142858,1520.7142857142858
118,2022-04-08,47.2,235.45,1796.3,1525.3
119,2022-05-01,30.2,341.6,655.22,1244.84
120,2022-05-10,50.8235294117647,147.0,1721.1764705882354,1103.0588235294117
121,2022-05-12,48.05555555555556,186.88888888888889,1641.9444444444443,1111.6666666666667
122,2022-05-05,48.5,48.5,886.0,1059.4444444444443
123,2022-05-06,52.111111111111114,100.61111111111111,1064.9444444444443,1114.1666666666667
124,2022-05-09,49.54545454545455,70.6969696969697,1725.8181818181818,1054.939393939394
